split,threshold,candidate_topk,fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,gate_selected,gate_rule,method,harmed_budget,w_bce,w_rank,w_raw
splitA_train42_44_val45_47,-3.545226,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.545226,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.545226,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.545226,2,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.593851,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.593851,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.593851,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.593851,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.628173,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.628173,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.628173,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.0
splitA_train42_44_val45_47,-3.628173,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.0
splitA_train42_44_val45_47,-5.812485,1,7,2,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.812485,1,7,2,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.812485,1,7,2,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.812485,1,7,2,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.86486,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.86486,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.86486,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.86486,2,5,1,4,30,4,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.920438,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.920438,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.920438,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.920438,3,5,1,4,30,3,82.0,83.33333333333334,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.938505,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.938505,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,1,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.938505,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,2,0.5,1.0,0.5
splitA_train42_44_val45_47,-5.938505,5,6,1,5,30,4,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,3,0.5,1.0,0.5
splitA_train42_44_val45_47,-1.856054,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,0,1.0,0.0,0.0
splitA_train42_44_val45_47,-1.856054,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,1,1.0,0.0,0.0
splitA_train42_44_val45_47,-1.856054,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,2,1.0,0.0,0.0
splitA_train42_44_val45_47,-1.856054,1,4,1,3,30,4,82.0,83.0,30,fp_le_3_max30,ensemble,3,1.0,0.0,0.0
splitA_train42_44_val45_47,-1.856346,2,6,1,5,30,5,82.0,83.66666666666667,30,fp_le_3_max30,ensemble,0,1.0,0.0,0.0
